srq,format,task,piece_id,n_wrong,claude_correct,gemini_correct,gpt_correct
SRQ1,pdf,time_signature,12-1,1,True,False,True
SRQ1,pdf,time_signature,12-2,1,True,False,True
SRQ1,pdf,time_signature,12-3,1,True,False,True
SRQ1,pdf,time_signature,12-4,1,True,False,True
SRQ1,pdf,time_signature,13-1,3,False,False,False
SRQ1,pdf,time_signature,13-2,1,True,False,True
SRQ1,pdf,time_signature,13-3,1,True,False,True
SRQ1,pdf,time_signature,13-4,1,True,False,True
SRQ1,pdf,time_signature,14-1,1,True,False,True
SRQ1,pdf,time_signature,14-2,1,True,False,True
SRQ1,pdf,time_signature,14-3,0,True,True,True
SRQ1,pdf,time_signature,15-1,1,True,False,True
SRQ1,pdf,time_signature,15-2,1,True,False,True
SRQ1,pdf,time_signature,15-3,1,True,False,True
SRQ1,pdf,time_signature,15-4,1,True,False,True
SRQ1,pdf,time_signature,16-1,0,True,True,True
SRQ1,pdf,time_signature,16-2,2,True,False,False
SRQ1,pdf,time_signature,16-3,2,True,False,False
SRQ1,pdf,time_signature,17-1,1,True,False,True
SRQ1,pdf,time_signature,17-2,1,True,False,True
SRQ1,pdf,time_signature,17-3,1,True,False,True
SRQ1,pdf,time_signature,18-1,1,True,False,True
SRQ1,pdf,time_signature,18-2,1,True,False,True
SRQ1,pdf,time_signature,18-3,0,True,True,True
SRQ1,pdf,time_signature,18-4,1,True,False,True
SRQ1,pdf,time_signature,19-1,1,True,False,True
SRQ1,pdf,time_signature,19-2,0,True,True,True
SRQ1,pdf,time_signature,20-1,2,True,False,False
SRQ1,pdf,time_signature,20-2,1,True,False,True
SRQ1,pdf,time_signature,21-1,0,True,True,True
SRQ1,pdf,time_signature,21-2,1,True,False,True
SRQ1,pdf,time_signature,21-3,1,True,False,True
SRQ1,pdf,time_signature,23-1,1,True,False,True
SRQ1,pdf,time_signature,23-2,1,True,False,True
SRQ1,pdf,time_signature,23-3,2,True,False,False
SRQ1,pdf,time_signature,24-1,1,True,False,True
SRQ1,pdf,time_signature,24-2,1,True,False,True
SRQ1,pdf,time_signature,26-1,1,True,False,True
SRQ1,pdf,time_signature,26-2,1,True,False,True
SRQ1,pdf,time_signature,26-3,1,True,False,True
SRQ1,pdf,time_signature,29-1,2,False,False,True
SRQ1,pdf,time_signature,29-2,1,True,False,True
SRQ1,pdf,time_signature,29-3,0,True,True,True
SRQ1,pdf,time_signature,29-4,2,False,True,False
SRQ1,pdf,time_signature,30-1,1,True,False,True
SRQ1,pdf,time_signature,30-2,1,True,False,True
SRQ1,pdf,time_signature,30-3,2,False,False,True
SRQ1,pdf,time_signature,31-1,1,True,False,True
SRQ1,pdf,time_signature,31-2,1,True,False,True
SRQ1,pdf,time_signature,31-3,0,True,True,True
SRQ1,pdf,time_signature,32-1,0,True,True,True
SRQ1,pdf,time_signature,32-2,1,True,False,True
SRQ3,pdf,key_signature,01-1,1,True,False,True
SRQ3,pdf,key_signature,01-2,1,True,False,True
SRQ3,pdf,key_signature,01-3,1,True,False,True
SRQ3,pdf,key_signature,01-4,0,True,True,True
SRQ3,pdf,key_signature,02-1,1,False,True,True
SRQ3,pdf,key_signature,02-2,1,True,False,True
SRQ3,pdf,key_signature,02-3,1,True,False,True
SRQ3,pdf,key_signature,03-1,0,True,True,True
SRQ3,pdf,key_signature,03-2,0,True,True,True
SRQ3,pdf,key_signature,03-3,2,False,True,False
SRQ3,pdf,key_signature,03-4,1,True,False,True
SRQ3,pdf,key_signature,05-1,1,True,False,True
SRQ3,pdf,key_signature,05-2,0,True,True,True
SRQ3,pdf,key_signature,05-3,0,True,True,True
SRQ3,pdf,key_signature,06-1,2,False,False,True
SRQ3,pdf,key_signature,06-2,1,True,False,True
SRQ3,pdf,key_signature,06-3,2,False,False,True
SRQ3,pdf,key_signature,07-1,2,False,False,True
SRQ3,pdf,key_signature,07-2,2,True,False,False
SRQ3,pdf,key_signature,07-3,0,True,True,True
SRQ3,pdf,key_signature,07-4,2,False,False,True
SRQ3,pdf,key_signature,08-1,0,True,True,True
SRQ3,pdf,key_signature,08-2,0,True,True,True
SRQ3,pdf,key_signature,08-3,0,True,True,True
SRQ3,pdf,key_signature,09-1,1,True,False,True
SRQ3,pdf,key_signature,09-2,1,True,False,True
SRQ3,pdf,key_signature,09-3,1,True,False,True
SRQ3,pdf,key_signature,10-1,1,True,False,True
SRQ3,pdf,key_signature,10-2,3,False,False,False
SRQ3,pdf,key_signature,10-3,1,True,False,True
SRQ3,pdf,key_signature,16-1,1,True,False,True
SRQ3,pdf,key_signature,16-2,2,False,True,False
SRQ3,pdf,key_signature,16-3,1,True,False,True
SRQ3,pdf,key_signature,17-1,0,True,True,True
SRQ3,pdf,key_signature,17-2,0,True,True,True
SRQ3,pdf,key_signature,17-3,2,True,False,False
SRQ3,pdf,key_signature,18-1,1,True,True,False
SRQ3,pdf,key_signature,18-2,2,True,False,False
SRQ3,pdf,key_signature,18-3,1,True,False,True
SRQ3,pdf,key_signature,18-4,0,True,True,True
SRQ3,pdf,key_signature,19-1,0,True,True,True
SRQ3,pdf,key_signature,19-2,1,True,False,True
SRQ3,pdf,key_signature,20-1,0,True,True,True
SRQ3,pdf,key_signature,20-2,1,True,False,True
SRQ3,pdf,key_signature,21-1,1,True,False,True
SRQ3,pdf,key_signature,21-2,1,True,False,True
SRQ3,pdf,key_signature,21-3,0,True,True,True
SRQ3,pdf,key_signature,23-1,0,True,True,True
SRQ3,pdf,key_signature,23-2,2,False,False,True
SRQ3,pdf,key_signature,23-3,2,False,False,True
SRQ3,pdf,key_signature,24-1,1,True,False,True
SRQ3,pdf,key_signature,24-2,0,True,True,True
SRQ3,pdf,key_signature,26-1,1,True,False,True
SRQ3,pdf,key_signature,26-2,1,False,True,True
SRQ3,pdf,key_signature,26-3,1,True,False,True
SRQ3,pdf,key_signature,30-1,0,True,True,True
SRQ3,pdf,key_signature,30-2,1,True,False,True
SRQ3,pdf,key_signature,30-3,0,True,True,True
SRQ3,pdf,key_signature,31-1,1,True,False,True
SRQ3,pdf,key_signature,31-2,2,False,False,True
SRQ3,pdf,key_signature,31-3,3,False,False,False
SRQ3,pdf,key_signature,32-1,0,True,True,True
SRQ3,pdf,key_signature,32-2,0,True,True,True
SRQ3,pdf,time_signature,01-1,1,True,False,True
SRQ3,pdf,time_signature,01-2,1,True,False,True
SRQ3,pdf,time_signature,01-3,0,True,True,True
SRQ3,pdf,time_signature,01-4,1,True,True,False
SRQ3,pdf,time_signature,02-1,1,True,False,True
SRQ3,pdf,time_signature,02-2,1,True,False,True
SRQ3,pdf,time_signature,02-3,1,True,False,True
SRQ3,pdf,time_signature,03-1,0,True,True,True
SRQ3,pdf,time_signature,03-2,1,True,False,True
SRQ3,pdf,time_signature,03-3,1,True,False,True
SRQ3,pdf,time_signature,03-4,0,True,True,True
SRQ3,pdf,time_signature,04-1,1,True,False,True
SRQ3,pdf,time_signature,04-2,1,True,False,True
SRQ3,pdf,time_signature,04-3,1,True,False,True
SRQ3,pdf,time_signature,04-4,1,True,False,True
SRQ3,pdf,time_signature,05-1,1,True,False,True
SRQ3,pdf,time_signature,05-2,2,True,False,False
SRQ3,pdf,time_signature,05-3,1,True,False,True
SRQ3,pdf,time_signature,06-1,1,True,False,True
SRQ3,pdf,time_signature,06-2,1,True,False,True
SRQ3,pdf,time_signature,06-3,1,True,False,True
SRQ3,pdf,time_signature,07-1,0,True,True,True
SRQ3,pdf,time_signature,07-2,1,True,False,True
SRQ3,pdf,time_signature,07-3,1,True,False,True
SRQ3,pdf,time_signature,07-4,0,True,True,True
SRQ3,pdf,time_signature,08-1,1,True,True,False
SRQ3,pdf,time_signature,08-2,1,True,False,True
SRQ3,pdf,time_signature,08-3,2,True,False,False
SRQ3,pdf,time_signature,09-1,0,True,True,True
SRQ3,pdf,time_signature,09-2,1,True,False,True
SRQ3,pdf,time_signature,09-3,1,True,False,True
SRQ3,pdf,time_signature,10-1,1,True,False,True
SRQ3,pdf,time_signature,10-2,3,False,False,False
SRQ3,pdf,time_signature,10-3,1,True,False,True
SRQ3,pdf,time_signature,11-1,0,True,True,True
SRQ3,pdf,time_signature,11-2,1,True,False,True
SRQ3,pdf,time_signature,11-3,1,True,False,True
SRQ3,pdf,time_signature,11-4,1,True,False,True
SRQ3,pdf,time_signature,12-1,1,True,False,True
SRQ3,pdf,time_signature,12-2,1,True,False,True
SRQ3,pdf,time_signature,12-3,0,True,True,True
SRQ3,pdf,time_signature,12-4,1,True,False,True
SRQ3,pdf,time_signature,13-1,3,False,False,False
SRQ3,pdf,time_signature,13-2,1,True,False,True
SRQ3,pdf,time_signature,13-3,2,False,False,True
SRQ3,pdf,time_signature,13-4,1,True,False,True
SRQ3,pdf,time_signature,14-1,1,False,True,True
SRQ3,pdf,time_signature,14-2,1,True,False,True
SRQ3,pdf,time_signature,14-3,0,True,True,True
SRQ3,pdf,time_signature,15-1,1,True,False,True
SRQ3,pdf,time_signature,15-2,0,True,True,True
SRQ3,pdf,time_signature,15-3,1,True,False,True
SRQ3,pdf,time_signature,15-4,0,True,True,True
SRQ3,pdf,time_signature,16-1,1,True,False,True
SRQ3,pdf,time_signature,16-2,2,True,False,False
SRQ3,pdf,time_signature,16-3,2,True,False,False
SRQ3,pdf,time_signature,17-1,0,True,True,True
SRQ3,pdf,time_signature,17-2,1,True,False,True
SRQ3,pdf,time_signature,17-3,1,True,False,True
SRQ3,pdf,time_signature,18-1,1,True,False,True
SRQ3,pdf,time_signature,18-2,1,True,False,True
SRQ3,pdf,time_signature,18-3,1,True,False,True
SRQ3,pdf,time_signature,18-4,1,True,False,True
SRQ3,pdf,time_signature,19-1,1,True,False,True
SRQ3,pdf,time_signature,19-2,0,True,True,True
SRQ3,pdf,time_signature,20-1,2,True,False,False
SRQ3,pdf,time_signature,20-2,1,True,False,True
SRQ3,pdf,time_signature,21-1,0,True,True,True
SRQ3,pdf,time_signature,21-2,1,True,False,True
SRQ3,pdf,time_signature,21-3,1,True,False,True
SRQ3,pdf,time_signature,23-1,1,True,False,True
SRQ3,pdf,time_signature,23-2,1,True,False,True
SRQ3,pdf,time_signature,23-3,2,True,False,False
SRQ3,pdf,time_signature,24-1,1,True,False,True
SRQ3,pdf,time_signature,24-2,1,True,False,True
SRQ3,pdf,time_signature,26-1,1,True,False,True
SRQ3,pdf,time_signature,26-2,1,True,False,True
SRQ3,pdf,time_signature,26-3,1,True,False,True
SRQ3,pdf,time_signature,29-1,2,False,False,True
SRQ3,pdf,time_signature,29-2,1,True,False,True
SRQ3,pdf,time_signature,29-3,0,True,True,True
SRQ3,pdf,time_signature,29-4,3,False,False,False
SRQ3,pdf,time_signature,30-1,1,True,False,True
SRQ3,pdf,time_signature,30-2,1,True,False,True
SRQ3,pdf,time_signature,30-3,2,False,False,True
SRQ3,pdf,time_signature,31-1,1,True,False,True
SRQ3,pdf,time_signature,31-2,1,True,False,True
SRQ3,pdf,time_signature,31-3,0,True,True,True
SRQ3,pdf,time_signature,32-1,1,True,False,True
SRQ3,pdf,time_signature,32-2,1,True,False,True
SRQ3,png,key_signature,01-1,2,True,False,False
SRQ3,png,key_signature,01-2,2,False,False,True
SRQ3,png,key_signature,01-3,2,True,False,False
SRQ3,png,key_signature,01-4,2,True,False,False
SRQ3,png,key_signature,02-1,1,True,False,True
SRQ3,png,key_signature,02-2,1,True,False,True
SRQ3,png,key_signature,02-3,1,True,False,True
SRQ3,png,key_signature,03-1,1,True,False,True
SRQ3,png,key_signature,03-2,1,True,True,False
SRQ3,png,key_signature,03-3,1,True,True,False
SRQ3,png,key_signature,03-4,0,True,True,True
SRQ3,png,key_signature,05-1,0,True,True,True
SRQ3,png,key_signature,05-2,2,True,False,False
SRQ3,png,key_signature,05-3,1,True,False,True
SRQ3,png,key_signature,06-1,2,False,False,True
SRQ3,png,key_signature,06-2,2,True,False,False
SRQ3,png,key_signature,06-3,1,False,True,True
SRQ3,png,key_signature,07-1,1,True,False,True
SRQ3,png,key_signature,07-2,1,True,False,True
SRQ3,png,key_signature,07-3,1,True,False,True
SRQ3,png,key_signature,07-4,0,True,True,True
SRQ3,png,key_signature,08-1,0,True,True,True
SRQ3,png,key_signature,08-2,1,True,False,True
SRQ3,png,key_signature,08-3,0,True,True,True
SRQ3,png,key_signature,09-1,1,True,False,True
SRQ3,png,key_signature,09-2,2,True,False,False
SRQ3,png,key_signature,09-3,1,True,False,True
SRQ3,png,key_signature,10-1,1,True,False,True
SRQ3,png,key_signature,10-2,2,False,True,False
SRQ3,png,key_signature,10-3,1,True,False,True
SRQ3,png,key_signature,16-1,1,True,False,True
SRQ3,png,key_signature,16-2,1,True,True,False
SRQ3,png,key_signature,16-3,1,True,False,True
SRQ3,png,key_signature,17-1,2,True,False,False
SRQ3,png,key_signature,17-2,1,True,False,True
SRQ3,png,key_signature,17-3,2,True,False,False
SRQ3,png,key_signature,18-1,1,True,True,False
SRQ3,png,key_signature,18-2,2,True,False,False
SRQ3,png,key_signature,18-3,0,True,True,True
SRQ3,png,key_signature,18-4,2,True,False,False
SRQ3,png,key_signature,19-1,0,True,True,True
SRQ3,png,key_signature,19-2,1,True,False,True
SRQ3,png,key_signature,20-1,0,True,True,True
SRQ3,png,key_signature,20-2,0,True,True,True
SRQ3,png,key_signature,21-1,0,True,True,True
SRQ3,png,key_signature,21-2,1,True,False,True
SRQ3,png,key_signature,21-3,1,True,False,True
SRQ3,png,key_signature,23-1,1,True,False,True
SRQ3,png,key_signature,23-2,3,False,False,False
SRQ3,png,key_signature,23-3,1,True,False,True
SRQ3,png,key_signature,24-1,1,True,False,True
SRQ3,png,key_signature,24-2,1,True,False,True
SRQ3,png,key_signature,26-1,1,True,False,True
SRQ3,png,key_signature,26-2,1,False,True,True
SRQ3,png,key_signature,26-3,1,True,False,True
SRQ3,png,key_signature,30-1,0,True,True,True
SRQ3,png,key_signature,30-2,2,True,False,False
SRQ3,png,key_signature,30-3,0,True,True,True
SRQ3,png,key_signature,31-1,0,True,True,True
SRQ3,png,key_signature,31-2,3,False,False,False
SRQ3,png,key_signature,31-3,2,True,False,False
SRQ3,png,key_signature,32-1,0,True,True,True
SRQ3,png,key_signature,32-2,2,True,False,False
SRQ3,png,time_signature,01-1,2,False,False,True
SRQ3,png,time_signature,01-2,1,True,False,True
SRQ3,png,time_signature,01-3,0,True,True,True
SRQ3,png,time_signature,01-4,3,False,False,False
SRQ3,png,time_signature,02-1,1,True,False,True
SRQ3,png,time_signature,02-2,1,True,False,True
SRQ3,png,time_signature,02-3,1,True,False,True
SRQ3,png,time_signature,03-1,0,True,True,True
SRQ3,png,time_signature,03-2,0,True,True,True
SRQ3,png,time_signature,03-3,0,True,True,True
SRQ3,png,time_signature,03-4,1,True,False,True
SRQ3,png,time_signature,04-1,1,True,False,True
SRQ3,png,time_signature,04-2,1,True,False,True
SRQ3,png,time_signature,04-3,1,True,False,True
SRQ3,png,time_signature,04-4,1,True,False,True
SRQ3,png,time_signature,05-1,1,True,False,True
SRQ3,png,time_signature,05-2,1,True,False,True
SRQ3,png,time_signature,05-3,0,True,True,True
SRQ3,png,time_signature,06-1,1,True,False,True
SRQ3,png,time_signature,06-2,1,True,False,True
SRQ3,png,time_signature,06-3,1,True,False,True
SRQ3,png,time_signature,07-1,0,True,True,True
SRQ3,png,time_signature,07-2,1,True,False,True
SRQ3,png,time_signature,07-3,1,True,False,True
SRQ3,png,time_signature,07-4,1,True,False,True
SRQ3,png,time_signature,08-1,1,True,False,True
SRQ3,png,time_signature,08-2,0,True,True,True
SRQ3,png,time_signature,08-3,1,True,False,True
SRQ3,png,time_signature,09-1,0,True,True,True
SRQ3,png,time_signature,09-2,1,True,False,True
SRQ3,png,time_signature,09-3,1,False,True,True
SRQ3,png,time_signature,10-1,1,True,False,True
SRQ3,png,time_signature,10-2,3,False,False,False
SRQ3,png,time_signature,10-3,1,True,False,True
SRQ3,png,time_signature,11-1,1,True,False,True
SRQ3,png,time_signature,11-2,1,True,False,True
SRQ3,png,time_signature,11-3,1,True,False,True
SRQ3,png,time_signature,11-4,1,True,False,True
SRQ3,png,time_signature,12-1,1,True,False,True
SRQ3,png,time_signature,12-2,1,True,False,True
SRQ3,png,time_signature,12-3,1,True,False,True
SRQ3,png,time_signature,12-4,1,True,False,True
SRQ3,png,time_signature,13-1,3,False,False,False
SRQ3,png,time_signature,13-2,1,True,False,True
SRQ3,png,time_signature,13-3,2,False,False,True
SRQ3,png,time_signature,13-4,2,False,False,True
SRQ3,png,time_signature,14-1,0,True,True,True
SRQ3,png,time_signature,14-2,1,True,False,True
SRQ3,png,time_signature,14-3,1,True,False,True
SRQ3,png,time_signature,15-1,1,True,False,True
SRQ3,png,time_signature,15-2,0,True,True,True
SRQ3,png,time_signature,15-3,1,True,False,True
SRQ3,png,time_signature,15-4,1,True,False,True
SRQ3,png,time_signature,16-1,2,False,False,True
SRQ3,png,time_signature,16-2,2,False,False,True
SRQ3,png,time_signature,16-3,2,True,False,False
SRQ3,png,time_signature,17-1,0,True,True,True
SRQ3,png,time_signature,17-2,1,True,False,True
SRQ3,png,time_signature,17-3,1,True,False,True
SRQ3,png,time_signature,18-1,1,True,False,True
SRQ3,png,time_signature,18-2,1,False,True,True
SRQ3,png,time_signature,18-3,0,True,True,True
SRQ3,png,time_signature,18-4,1,True,False,True
SRQ3,png,time_signature,19-1,1,True,False,True
SRQ3,png,time_signature,19-2,1,True,False,True
SRQ3,png,time_signature,20-1,2,True,False,False
SRQ3,png,time_signature,20-2,1,True,False,True
SRQ3,png,time_signature,21-1,0,True,True,True
SRQ3,png,time_signature,21-2,1,True,False,True
SRQ3,png,time_signature,21-3,1,True,False,True
SRQ3,png,time_signature,23-1,1,True,False,True
SRQ3,png,time_signature,23-2,2,False,False,True
SRQ3,png,time_signature,23-3,1,True,False,True
SRQ3,png,time_signature,24-1,1,True,False,True
SRQ3,png,time_signature,24-2,0,True,True,True
SRQ3,png,time_signature,26-1,1,True,False,True
SRQ3,png,time_signature,26-2,1,True,False,True
SRQ3,png,time_signature,26-3,1,True,False,True
SRQ3,png,time_signature,29-1,1,False,True,True
SRQ3,png,time_signature,29-2,1,True,False,True
SRQ3,png,time_signature,29-3,1,True,False,True
SRQ3,png,time_signature,29-4,1,True,False,True
SRQ3,png,time_signature,30-1,1,True,False,True
SRQ3,png,time_signature,30-2,1,True,False,True
SRQ3,png,time_signature,30-3,2,False,False,True
SRQ3,png,time_signature,31-1,1,True,False,True
SRQ3,png,time_signature,31-2,1,True,False,True
SRQ3,png,time_signature,31-3,0,True,True,True
SRQ3,png,time_signature,32-1,0,True,True,True
SRQ3,png,time_signature,32-2,1,True,False,True
